FIPS, Name , Race ,Total,Employed,Unemployed,NILF
17097c," Lake County, IL ", Non-Hispanic American Indian ,,,,
17097c," Lake County, IL ", Non-Hispanic Asian ,31566,24748,1102,5716
17097c," Lake County, IL ", Non-Hispanic black ,27295,20471,2562,4262
17097c," Lake County, IL ", Non-Hispanic white ,268598,207731,10354,50513
17097c," Lake County, IL ", Total ,421425,324256,18756,78413
17197c," Will County, IL ", All other non-Hispanic ,4436,3613,,
17197c," Will County, IL ", Latino ,67471,51263,3610,12598
17197c," Will County, IL ", Non-Hispanic American Indian ,,,,
17197c," Will County, IL ", Non-Hispanic Asian ,22445,17548,,4615
17197c," Will County, IL ", Non-Hispanic black ,49049,34874,2745,11430
17197c," Will County, IL ", Non-Hispanic white ,275940,217042,10596,48302
17197c," Will County, IL ", Total ,419982,324981,17442,77559
18097a," Indianapolis, IN ", All other non-Hispanic ,11278,8384,,1821
18097a," Indianapolis, IN ", Latino ,51914,38712,2466,10736
18097a," Indianapolis, IN ", Non-Hispanic American Indian ,,,,
18097a," Indianapolis, IN ", Non-Hispanic Asian ,19226,13193,,5579
18097a," Indianapolis, IN ", Non-Hispanic black ,155340,102427,19220,33693
18097a," Indianapolis, IN ", Non-Hispanic white ,346484,261280,15446,69758
18097a," Indianapolis, IN ", Total ,584974,424535,38659,121780
20091c," Johnson County, KS ", All other non-Hispanic ,6618,4551,,
20091c," Johnson County, KS ", Latino ,25301,21111,,3055
20091c," Johnson County, KS ", Non-Hispanic American Indian ,,,,
20091c," Johnson County, KS ", Non-Hispanic Asian ,19498,13696,,5328
20091c," Johnson County, KS ", Non-Hispanic black ,16989,14645,,2071
20091c," Johnson County, KS ", Non-Hispanic white ,288287,240510,6761,41016
20091c," Johnson County, KS ", Total ,357204,294977,10102,52125
21111a," Louisville/Jefferson County, KY ", All other non-Hispanic ,8105,6771,,
21111a," Louisville/Jefferson County, KY ", Latino ,22395,17921,,4029
21111a," Louisville/Jefferson County, KY ", Non-Hispanic American Indian ,,,,
21111a," Louisville/Jefferson County, KY ", Non-Hispanic Asian ,12613,9434,,2703
21111a," Louisville/Jefferson County, KY ", Non-Hispanic black ,98255,69051,8643,20561
21111a," Louisville/Jefferson County, KY ", Non-Hispanic white ,325209,246329,11252,67628
21111a," Louisville/Jefferson County, KY ", Total ,467296,350123,21417,95756
24003c," Anne Arundel County, MD ", All other non-Hispanic ,6880,5435,,
24003c," Anne Arundel County, MD ", Latino ,24247,17368,,5952
24003c," Anne Arundel County, MD ", Non-Hispanic American Indian ,,,,
24003c," Anne Arundel County, MD ", Non-Hispanic Asian ,15594,13486,,1866
24003c," Anne Arundel County, MD ", Non-Hispanic black ,53477,41184,2723,9570
24003c," Anne Arundel County, MD ", Non-Hispanic white ,237203,192819,7759,36625
24003c," Anne Arundel County, MD ", Total ,338092,270496,12266,55330
24005c," Baltimore County, MD ", All other non-Hispanic ,9972,7309,,2292
24005c," Baltimore County, MD ", Latino ,25079,20595,,3764
24005c," Baltimore County, MD ", Non-Hispanic American Indian ,,,,
24005c," Baltimore County, MD ", Non-Hispanic Asian ,33049,24142,1181,7726
24005c," Baltimore County, MD ", Non-Hispanic black ,140472,112549,6421,21502
24005c," Baltimore County, MD ", Non-Hispanic white ,293403,226103,11779,55521
24005c," Baltimore County, MD ", Total ,502760,391058,20472,91230
24031c," Montgomery County, MD ", All other non-Hispanic ,21740,18666,,2438
24031c," Montgomery County, MD ", Latino ,123792,99189,7327,17276
